product_id,product_name,category,stock_quantity,reorder_level,unit_cost,unit_price,supplier
P001,Laptop Pro 15,Electronics,45,20,950.00,1200.00,TechSupply Inc
P002,Wireless Mouse,Electronics,250,50,18.00,25.50,AccessoryCo
P003,Mechanical Keyboard,Electronics,120,30,55.00,75.00,KeyTech Ltd
P004,4K Monitor 27in,Electronics,75,15,275.00,350.00,DisplayPro
P005,Executive Desk,Furniture,30,10,320.00,450.00,OfficeFurnish
P006,Ergonomic Chair,Furniture,85,20,150.00,200.00,SeatComfort
P007,Laptop Ultra 13,Electronics,35,15,1050.00,1350.00,TechSupply Inc
P008,Budget Mouse,Electronics,400,100,15.00,22.00,AccessoryCo
P009,Standing Desk,Furniture,25,8,350.00,475.00,OfficeFurnish
P010,Gaming Monitor 32in,Electronics,55,12,300.00,380.00,DisplayPro
