report_date,order_id,customer_id,product,category,quantity,price,region
2024-01-01,1001,C001,Laptop,Electronics,1,1200.0,North
2024-01-01,1002,C002,Mouse,Electronics,2,25.5,South
2024-01-01,1003,C001,Keyboard,Electronics,1,75.0,North
2024-01-01,1004,C003,Monitor,Electronics,2,350.0,East
2024-01-01,1005,C004,Desk,Furniture,1,450.0,West
2024-01-01,1006,C002,Chair,Furniture,2,200.0,South
2024-01-01,1007,C005,Laptop,Electronics,1,1350.0,North
2024-01-01,1008,C003,Mouse,Electronics,3,25.5,East
2024-01-01,1009,C006,Desk,Furniture,1,475.0,West
2024-01-01,1010,C004,Monitor,Electronics,1,380.0,West
2024-01-01,1011,C007,Laptop,Electronics,2,1200.0,South
2024-01-01,1012,C005,Chair,Furniture,4,200.0,North
2024-01-01,1013,C008,Keyboard,Electronics,2,75.0,East
2024-01-01,1014,C006,Mouse,Electronics,1,28.0,West
2024-01-01,1015,C009,Desk,Furniture,1,450.0,North
2024-01-01,1016,C010,Monitor,Electronics,3,350.0,South
2024-01-01,1017,C007,Laptop,Electronics,1,1400.0,South
2024-01-01,1018,C008,Chair,Furniture,2,225.0,East
2024-01-01,1019,C009,Keyboard,Electronics,1,80.0,North
2024-01-01,1020,C010,Mouse,Electronics,2,25.5,South
